Nat,Pokemon,TypeI,TypeII,AbilityI,AbilityII,HiddenAbility,Gender,EggGroupI,EggGroupII,Catch,Evolve,Form,GenII,GenIII,GenIV,GenV,GenVI,SunMoon,ORAS,SwSh,BDSP,SV
551,Sandile,Ground,Dark,Intimidate,Moxie,Anger Point,Neutral,Field,,180,,Base,,,,X,X,X,X,X,,X
552,Krokorok,Ground,Dark,Intimidate,Moxie,Anger Point,Neutral,Field,,90,Lv. 29,Base,,,,X,X,X,X,X,,X
553,Krookodile,Ground,Dark,Intimidate,Moxie,Anger Point,Neutral,Field,,45,Lv. 40,Base,,,,X,X,X,X,X,,X
554,Darumaka,Fire,,Hustle,,Inner Focus,Neutral,Field,,120,,Base,,,,X,X,X,X,X,,
554,G. Darumaka,Ice,,Hustle,,Inner Focus,Neutral,Field,,120,,Galarian,,,,,,,,X,,
555,Darmanitan,Fire,,Sheer Force,,Zen Mode,Neutral,Field,,60,Lv. 35,Base,,,,X,X,X,X,X,,
555,G. Darmanitan,Ice,,Gorilla Tactics,,Zen Mode,Neutral,Field,,60,Ice Stone,Galarian,,,,,,,,X,,
556,Maractus,Grass,,Water Absorb,Chlorophyll,Storm Drain,Neutral,Grass,,255,N,Base,,,,X,X,X,X,X,,
557,Dwebble,Bug,Rock,Sturdy,Shell Armor,Weak Armor,Neutral,Bug,Mineral,190,,Base,,,,X,X,X,X,X,,
558,Crustle,Bug,Rock,Sturdy,Shell Armor,Weak Armor,Neutral,Bug,Mineral,75,Lv. 34,Base,,,,X,X,X,X,X,,
559,Scraggy,Dark,Fighting,Shed Skin,Moxie,Intimidate,Neutral,Field,Dragon,180,,Base,,,,X,X,X,X,X,,
560,Scrafty,Dark,Fighting,Shed Skin,Moxie,Intimidate,Neutral,Field,Dragon,90,,Base,,,,X,X,X,X,X,,
561,Sigilyph,Psychic,Flying,Wonder Skin,Magic Guard,Tinted Lenses,Neutral,Flying,,45,,Base,,,,X,X,X,X,X,,
562,Yamask,Ghost,,Mummy,,,Neutral,Mineral,Amorphous,190,,Base,,,,X,X,X,X,X,,
562,G. Yamask,Ground,Ghost,Wandering Spirit,,,Neutral,Mineral,Amorphous,190,,Galarian,,,,,,,,X,,
563,Cofagrigus,Ghost,,Mummy,,,Neutral,Mineral,Amorphous,90,Lv. 34,Base,,,,X,X,X,X,X,,
564,Tirtouga,Water,Rock,Solid Rock,Sturdy,Swift Swim,M (87.5%),Water 1,Water 3,45,,Base,,,,X,X,X,X,X,,
565,Carracosta,Water,Rock,Solid Rock,Sturdy,Swift Swim,M (87.5%),Water 1,Water 3,45,Lv. 37,Base,,,,X,X,X,X,X,,
566,Archen,Rock,Flying,Defeatist,,,M (87.5%),Flying,Water 3,45,,Base,,,,X,X,X,X,X,,
567,Archeops,Rock,Flying,Defeatist,,,M (87.5%),Flying,Water 3,45,Lv. 37,Base,,,,X,X,X,X,X,,
568,Trubbish,Poison,,Stench,Sticky Hold,Aftermath,Neutral,Mineral,,190,,Base,,,,X,X,X,X,X,,
569,Garbodor,Poison,,Stench,Weak Armor,Aftermath,Neutral,Mineral,,60,Lv. 36,Base,,,,X,X,X,X,X,,
570,Zorua,Dark,,Illusion,,,M (87.5%),Field,,75,,Base,,,,X,X,X,X,X,,X
570,H. Zorua,Normal,Ghost,Illusion,,,M (87.5%),Field,,75,,Hisuian,,,,,,,,,,X
571,Zoroark,Dark,,Illusion,,,M (87.5%),Field,,45,Lv. 30,Base,,,,X,X,X,X,X,,X
571,H. Zoroark,Normal,Ghost,Illusion,,,M (87.5%),Field,,45,Level 30,Hisuian,,,,,,,,,,X
572,Minccino,Normal,,Cute Charm,Technician,Skill Link,F (75%),Field,,255,,Base,,,,X,X,X,X,X,,
573,Ciccino,Normal,,Cute Charm,Technician,Skill Link,F (75%),Field,,60,Shiny Stone,Base,,,,X,X,X,X,X,,
574,Gothita,Psychic,,Frisk,Competitive,Shadow Tag,F (75%),Human-Like,,200,,Base,,,,X,X,X,X,X,,X
575,Gothorita,Psychic,,Frisk,Competitive,Shadow Tag,F (75%),Human-Like,,100,Lv. 32,Base,,,,X,X,X,X,X,,X
576,Gothitelle,Psychic,,Frisk,Competitive,Shadow Tag,F (75%),Human-Like,,50,Lv. 41,Base,,,,X,X,X,X,X,,X
577,Solosis,Psychic,,Overcoat,Magic Guard,Regenerator,Neutral,Amorphous,,200,,Base,,,,X,X,X,X,X,,
578,Duosion,Psychic,,Overcoat,Magic Guard,Regenerator,Neutral,Amorphous,,100,Lv. 32,Base,,,,X,X,X,X,X,,
579,Reuniclus,Psychic,,Overcoat,Magic Guard,Regenerator,Neutral,Amorphous,,50,Lv. 41,Base,,,,X,X,X,X,X,,
580,Ducklett,Water,Flying,Keen Eye,Big Pecks,Hydration,Neutral,Water 1,Flying,190,,Base,,,,X,X,X,X,,,
581,Swanna,Water,Flying,Keen Eye,Big Pecks,Hydration,Neutral,Water 1,Flying,45,Lv. 35,Base,,,,X,X,X,X,,,
582,Vanillite,Ice,,Ice Body,,Weak Armor,Neutral,Mineral,,255,,Base,,,,X,X,X,X,X,,
583,Vanillish,Ice,,Ice Body,,Weak Armor,Neutral,Mineral,,120,Lv. 35,Base,,,,X,X,X,X,X,,
584,Vanilluxe,Ice,,Ice Body,,Weak Armor,Neutral,Mineral,,45,Lv. 47,Base,,,,X,X,X,X,X,,
585,Deerling,Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,Neutral,Field,,190,,Base,,,,X,X,X,X,,,X
586,Sawsbuck,Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,Neutral,Field,,75,Lv. 34,Base,,,,X,X,X,X,,,X
587,Emolga,Electric,Flying,Static,,Motor Drive,Neutral,Field,,200,,Base,,,,X,X,X,X,X,,
588,Karrablast,Bug,,Swarm,Shed Skin,No Guard,Neutral,Bug,,200,,Base,,,,X,X,X,X,X,,
589,Escavalier,Bug,Steel,Swarm,Shell Armor,Overcoat,Neutral,Bug,,75,Trade w/ Shelmet,Base,,,,X,X,X,X,X,,
590,Foongus,Grass,Poison,Effect Spore,,Regenerator,Neutral,Grass,,190,,Base,,,,X,X,X,X,X,,X
591,Amoonguss,Grass,Poison,Effect Spore,,Regenerator,Neutral,Grass,,75,Lv. 39,Base,,,,X,X,X,X,X,,X
592,Frillish,Water,Ghost,Water Absorb,Cursed Body,Damp,Neutral,Amorphous,,190,,Base,,,,X,X,X,X,X,,
593,Jellicent,Water,Ghost,Water Absorb,Cursed Body,Damp,Neutral,Amorphous,,60,Lv. 40,Base,,,,X,X,X,X,X,,
594,Alomomola,Water,,Healer,Hydration,Regenerator,Neutral,Water 1,Water 2,75,N,Base,,,,X,X,X,X,,,X
595,Joltik,Bug,Electric,Compound Eyes,Unnerve,Swarm,Neutral,Bug,,190,,Base,,,,X,X,X,X,X,,
596,Galvantula,Bug,Electric,Compound Eyes,Unnerve,Swarm,Neutral,Bug,,75,Lv. 36,Base,,,,X,X,X,X,X,,
597,Ferroseed,Grass,Steel,Iron Barbs,,,Neutral,Grass,Mineral,255,,Base,,,,X,X,X,X,X,,
598,Ferrothorn,Grass,Steel,Iron Barbs,,Anticipation,Neutral,Grass,Mineral,90,Lv. 40,Base,,,,X,X,X,X,X,,
599,Klink,Steel,,Plus,Minus,Clear Body,None,Mineral,,130,,Base,,,,X,X,X,X,X,,
600,Klang,Steel,,Plus,Minus,Clear Body,None,Mineral,,60,Lv. 38,Base,,,,X,X,X,X,X,,
601,Klinklang,Steel,,Plus,Minus,Clear Body,None,Mineral,,30,Lv. 49,Base,,,,X,X,X,X,X,,
602,Tynamo,Electric,,Levitate,,,Neutral,Amorphous,,190,,Base,,,,X,X,X,X,,,X
603,Eelektrik,Electric,,Levitate,,,Neutral,Amorphous,,60,Lv. 39,Base,,,,X,X,X,X,,,X
604,Eelektross,Electric,,Levitate,,,Neutral,Amorphous,,30,Thunderstone,Base,,,,X,X,X,X,,,X
605,Elgyem,Psychic,,Telepathy,Synchronize,Analytic,Neutral,Human-Like,,255,,Base,,,,X,X,X,X,X,,
606,Beheeyem,Psychic,,Telepathy,Synchronize,Analytic,Neutral,Human-Like,,90,Lv. 42,Base,,,,X,X,X,X,X,,
607,Litwick,Ghost,Fire,Flash Fire,Flame Body,Infiltrator,Neutral,Amorphous,,190,,Base,,,,X,X,X,X,X,,
608,Lampent,Ghost,Fire,Flash Fire,Flame Body,Infiltrator,Neutral,Amorphous,,90,Lv. 41,Base,,,,X,X,X,X,X,,
609,Chandelure,Ghost,Fire,Flash Fire,Flame Body,Infiltrator,Neutral,Amorphous,,45,Dusk Stone,Base,,,,X,X,X,X,X,,
610,Axew,Dragon,,Rivalry,Mold Breaker,Unnerve,Neutral,Monster,Dragon,75,,Base,,,,X,X,X,X,X,,X
611,Fraxure,Dragon,,Rivalry,Mold Breaker,Unnerve,Neutral,Monster,Dragon,60,Lv. 38,Base,,,,X,X,X,X,X,,X
612,Haxorus,Dragon,,Rivalry,Mold Breaker,Unnerve,Neutral,Monster,Dragon,45,Lv. 48,Base,,,,X,X,X,X,X,,X
613,Cubchoo,Ice,,Snow Cloak,Slush Rush,Rattled,Neutral,Field,,120,,Base,,,,X,X,X,X,X,,X
614,Beartic,Ice,,Snow Cloak,Slush Rush,Swift Swim,Neutral,Field,,60,Lv. 37,Base,,,,X,X,X,X,X,,X
615,Cryogonal,Ice,,Levitate,,,None,Mineral,,25,N,Base,,,,X,X,X,X,X,,
616,Shelmet,Bug,,Hydration,Shell Armor,Overcoat,Neutral,Bug,,200,,Base,,,,X,X,X,X,X,,
617,Accelgor,Bug,,Hydration,Sticky Hold,Unburden,Neutral,Bug,,75,Trade w/ Karrablast,Base,,,,X,X,X,X,X,,
618,Stunfisk,Ground,Electric,Static,Limber,Sand Viel,Neutral,Water 1,Amorphous,75,N,Base,,,,X,X,X,X,X,,
618,G. Stunfisk,Ground,Steel,Mimicry,,,Neutral,Water 1,Amorphous,75,N,Galarian,,,,,,,,X,,
619,Mienfoo,Fighting,,Inner Focus,Regenerator,Reckless,Neutral,Field,Human-Like,180,,Base,,,,X,X,X,X,X,,
620,Mienshao,Fighting,,Inner Focus,Regenerator,Reckless,Neutral,Field,Human-Like,45,Lv. 50,Base,,,,X,X,X,X,X,,
621,Druddigon,Dragon,,Rough Skin,Sheer Force,Mold Breaker,Neutral,Dragon,Monster,45,N,Base,,,,X,X,X,X,X,,
622,Golett,Ground,Ghost,Iron Fist,Klutz,No Guard,None,Mineral,,190,,Base,,,,X,X,X,X,X,,
623,Golurk,Ground,Ghost,Iron Fist,Klutz,No Guard,None,Mineral,,90,Lv. 43,Base,,,,X,X,X,X,X,,
624,Pawniard,Dark,Steel,Defiant,Inner Focus,Pressure,Neutral,Human-Like,,120,,Base,,,,X,X,X,X,X,,X
625,Bisharp,Dark,Steel,Defiant,Inner Focus,Pressure,Neutral,Human-Like,,45,Lv. 52,Base,,,,X,X,X,X,X,,X
626,Bouffalant,Normal,,Reckless,Sap Sipper,Soundproof,Neutral,Field,,45,N,Base,,,,X,X,X,X,X,,
627,Rufflet,Normal,Flying,Keen Eye,Sheer Force,Hustle,M (100%),Flying,,190,,Base,,,,X,X,X,X,X,,X
628,Braviary,Normal,Flying,Keen Eye,Sheer Force,Defiant,M (100%),Flying,,60,Lv. 54,Base,,,,X,X,X,X,X,,X
628,H. Braviary,Psychic,Flying,Keen Eye,Sheer Force,Defiant,M (100%),Flying,,60,Level 54 (Hisui Only),Hisuian,,,,,,,,,,X
629,Vullaby,Dark,Flying,Big Pecks,Overcoat,Weak Armor,F (100%),Flying,,190,,Base,,,,X,X,X,X,X,,
630,Mandibuzz,Dark,Flying,Big Pecks,Overcoat,Weak Armor,F (100%),Flying,,60,Lv. 54,Base,,,,X,X,X,X,X,,
631,Heatmor,Fire,,Gluttony,Flash Fire,White Smoke,Neutral,Field,,90,N,Base,,,,X,X,X,X,X,,
632,Durant,Bug,Steel,Swarm,Hustle,Truant,Neutral,Bug,,90,N,Base,,,,X,X,X,X,X,,
633,Deino,Dark,Dragon,Hustle,,,Neutral,Dragon,,45,,Base,,,,X,X,X,X,X,,X
634,Zweilous,Dark,Dragon,Hustle,,,Neutral,Dragon,,45,Lv. 50,Base,,,,X,X,X,X,X,,X
635,Hydreigon,Dark,Dragon,Levitate,,,Neutral,Dragon,,45,Lv. 64,Base,,,,X,X,X,X,X,,X
636,Larvesta,Bug,Fire,Flame Body,,Swarm,Neutral,Bug,,45,,Base,,,,X,X,X,X,X,,X
637,Volcarona,Bug,Fire,Flame Body,,Swarm,Neutral,Bug,,15,Lv. 59,Base,,,,X,X,X,X,X,,X
638,Cobalion,Steel,Fighting,Justified,,,None,-,,3,N,Base,,,,X,X,X,X,X,,
639,Terrakion,Rock,Fighting,Justified,,,None,-,,3,N,Base,,,,X,X,X,X,X,,
640,Virizion,Grass,Fighting,Justified,,,None,-,,3,N,Base,,,,X,X,X,X,X,,
641,Tornadus,Flying,,Prankster,,Defiant,M (100%),-,,3,N,Base,,,,X,X,X,X,X,,X
642,Thundurus,Electric,Flying,Prankster,,Defiant,M (100%),-,,3,N,Base,,,,X,X,X,X,X,,X
643,Reshiram,Dragon,Fire,Turboblaze,,,None,-,,3,N,Base,,,,X,X,X,X,X,,
644,Zekrom,Dragon,Electric,Teravolt,,,None,-,,3,N,Base,,,,X,X,X,X,X,,
645,Landorus,Ground,Flying,Sand Force,,Sheer Force,M (100%),-,,3,N,Base,,,,X,X,X,X,X,,X
646,Kyurem,Dragon,Ice,Pressure,,,None,-,,3,N,Base,,,,X,X,X,X,X,,
647,Keldeo,Water,Fighting,Justified,,,None,-,,3,N,Base,,,,X,X,X,X,X,,
648,Meloetta (A),Normal,Psychic,Serene Grace,,,None,-,,3,N,Base,,,,X,X,X,X,X,,X
649,Genesect,Bug,Steel,Download,,,None,-,,3,N,Base,,,,X,X,X,X,X,,
650,Chespin,Grass,,Overgrow,,Bulletproof,M (87.5%),Field,,45,,Base,,,,,X,X,X,,,X
651,Quilladin,Grass,,Overgrow,,Bulletproof,M (87.5%),Field,,45,Level 16,Base,,,,,X,X,X,,,X
652,Chesnaught,Grass,Fighting,Overgrow,,Bulletproof,M (87.5%),Field,,45,Level 36,Base,,,,,X,X,X,,,X
653,Fennekin,Fire,,Blaze,,Magician,M (87.5%),Field,,45,,Base,,,,,X,X,X,,,X
654,Braixen,Fire,,Blaze,,Magician,M (87.5%),Field,,45,Level 16,Base,,,,,X,X,X,,,X
655,Delphox,Fire,Psychic,Blaze,,Magician,M (87.5%),Field,,45,Level 36,Base,,,,,X,X,X,,,X
656,Froakie,Water,,Torrent,,Protean,M (87.5%),Water 1,,45,,Base,,,,,X,X,X,,,X
657,Frogadier,Water,,Torrent,,Protean,M (87.5%),Water 1,,45,Level 16,Base,,,,,X,X,X,,,X
658,Greninja,Water,Dark,Torrent,,Protean,M (87.5%),Water 1,,45,Level 36,Base,,,,,X,X,X,,,X
659,Bunnelby,Normal,,Pickup,Cheek Pouch,Huge Power,Neutral,Field,,255,,Base,,,,,X,X,X,X,,
660,Diggersby,Normal,Ground,Pickup,Cheek Pouch,Huge Power,Neutral,Field,,127,Level 20,Base,,,,,X,X,X,X,,
661,Fletchling,Normal,Flying,Big Pecks,,Gale Wings,Neutral,Flying,,255,,Base,,,,,X,X,X,X,,X
662,Fletchinder,Fire,Flying,Flame Body,,Gale Wings,Neutral,Flying,,120,Level 17,Base,,,,,X,X,X,X,,X
663,Talonflame,Fire,Flying,Flame Body,,Gale Wings,Neutral,Flying,,45,Level 35,Base,,,,,X,X,X,X,,X
664,Scatterbug,Bug,,Shield Dust,Compound Eyes,Friend Guard,Neutral,Bug,,255,,Base,,,,,X,X,X,,,X
665,Spewpa,Bug,,Shed Skin,,Friend Guard,Neutral,Bug,,120,Level 9,Base,,,,,X,X,X,,,X
666,Vivillon,Bug,Flying,Shield Dust,Compound Eyes,Friend Guard,Neutral,Bug,,45,Level 12,Base,,,,,X,X,X,,,X
667,Litleo,Fire,Normal,Rivalry,Unnerve,Moxie,F (87.5%),Field,,220,,Base,,,,,X,X,X,,,X
668,Pyroar,Fire,Normal,Rivalry,Unnerve,Moxie,F (87.5%),Field,,65,Level 35,Base,,,,,X,X,X,,,X
669,Flabébé,Fairy,,Flower Veil,,Symbiosis,F (100%),Fairy,,255,,Base,,,,,X,X,X,,,X
670,Floette,Fairy,,Flower Veil,,Symbiosis,F (100%),Fairy,,120,Level 19,Base,,,,,X,X,X,,,X
671,Florges,Fairy,,Flower Veil,,Symbiosis,F (100%),Fairy,,45,Shiny Stone,Base,,,,,X,X,X,,,X
672,Skiddo,Grass,,Sap Sipper,,Grass Pelt,Neutral,Field,,220,,Base,,,,,X,X,X,,,X
673,Gogoat,Grass,,Sap Sipper,,Grass Pelt,Neutral,Field,,45,Level 32,Base,,,,,X,X,X,,,X
674,Pancham,Fighting,,Iron Fist,Mold Breaker,Scrappy,Neutral,Field,Human-like,220,,Base,,,,,X,X,X,X,,
675,Pangoro,Fighting,Dark,Iron Fist,Mold Breaker,Scrappy,Neutral,Field,Human-like,65,32 w/ Dark-type in Party,Base,,,,,X,X,X,X,,
676,Furfrou,Normal,,Fur Coat,,,Neutral,Field,,160,N,Base,,,,,X,X,X,,,
677,Espurr,Psychic,,Keen Eye,Infiltrator,Own Tempo,Neutral,Field,,190,,Base,,,,,X,X,X,X,,
678,Male Meowstic,Psychic,,Keen Eye,Infiltrator,Prankster,M (100%),Field,,75,Level 25,Base,,,,,X,X,X,X,,
679,Honedge,Steel,Ghost,No Guard,,,Neutral,Mineral,,180,,Base,,,,,X,X,X,X,,
680,Doublade,Steel,Ghost,No Guard,,,Neutral,Mineral,,90,Level 35,Base,,,,,X,X,X,X,,
681,S Aegislash,Steel,Ghost,Stance Change,,,Neutral,Mineral,,45,Dusk Stone,Base,,,,,X,X,X,X,,
682,Spritzee,Fairy,,Healer,,Aroma Veil,Neutral,Fairy,,200,,Base,,,,,X,X,X,X,,
683,Aromatisse,Fairy,,Healer,,Aroma Veil,Neutral,Fairy,,140,Trade w/ Satchet,Base,,,,,X,X,X,X,,
684,Swirlix,Fairy,,Sweet Veil,,Unburden,Neutral,Fairy,,200,,Base,,,,,X,X,X,X,,
685,Slurpuff,Fairy,,Sweet Veil,,Unburden,Neutral,Fairy,,140,Trade w/ Whipped Dream,Base,,,,,X,X,X,X,,
686,Inkay,Dark,Psychic,Contrary,Suction Cups,Infiltrator,Neutral,Water 1,Water 2,190,,Base,,,,,X,X,X,X,,
687,Malamar,Dark,Psychic,Contrary,Suction Cups,Infiltrator,Neutral,Water 1,Water 2,80,"Level 30, Console upside-down",Base,,,,,X,X,X,X,,
688,Binacle,Rock,Water,Tough Claws,Sniper,Pickpocket,Neutral,Water 3,,120,,Base,,,,,X,X,X,X,,
689,Barbaracle,Rock,Water,Tough Claws,Sniper,Pickpocket,Neutral,Water 3,,45,Level 39,Base,,,,,X,X,X,X,,
690,Skrelp,Poison,Water,Poison Point,Poison Touch,Adaptability,Neutral,Water 1,Dragon,225,,Base,,,,,X,X,X,X,,X
691,Dragalge,Poison,Dragon,Poison Point,Poison Touch,Adaptability,Neutral,Water 1,Dragon,55,Level 48,Base,,,,,X,X,X,X,,X
692,Clauncher,Water,,Mega Launcher,,,Neutral,Water 1,Water 3,225,,Base,,,,,X,X,X,X,,X
693,Clawitzer,Water,,Mega Launcher,,,Neutral,Water 1,Water 3,55,Level 37,Base,,,,,X,X,X,X,,X
694,Helioptile,Electric,Normal,Dry Skin,Sand Veil,Solar Power,Neutral,Monster,Dragon,190,,Base,,,,,X,X,X,X,,
695,Heliolisk,Electric,Normal,Dry Skin,Sand Veil,Solar Power,Neutral,Monster,Dragon,75,Sun Stone,Base,,,,,X,X,X,X,,
696,Tyrunt,Rock,Dragon,Strong Jaw,,Sturdy,M (87.5%),Monster,Dragon,45,,Base,,,,,X,X,X,X,,
697,Tyrantrum,Rock,Dragon,Strong Jaw,,Rock Head,M (87.5%),Monster,Dragon,45,"Level 39, Day",Base,,,,,X,X,X,X,,
698,Amaura,Rock,Ice,Refrigerate,,Snow Warning,M (87.5%),Monster,,45,,Base,,,,,X,X,X,X,,
699,Aurorus,Rock,Ice,Refrigerate,,Snow Warning,M (87.5%),Monster,,45,"Level 39, Night",Base,,,,,X,X,X,X,,
700,Sylveon,Fairy,,Cute Charm,,Pixilate,M (87.5%),Field,,45,"High Friendship, Fairy Move Known",Base,,,,,X,X,X,X,,X
701,Hawlucha,Fighting,Flying,Limber,,Mold Breaker,Neutral,Human-like,,100,N,Base,,,,,X,X,X,,,
701,Hawlucha,Fighting,Flying,Limber,,Mold Breaker,Neutral,Flying,Human-like,100,N,Base,,,,,,,,X,,X
702,Dedenne,Electric,Fairy,Unburden,,Plus,Neutral,Field,Fairy,180,N,Base,,,,,X,X,X,X,,X
703,Carbink,Rock,Fairy,Clear Body,,Sturdy,None,Fairy,Mineral,60,N,Base,,,,,X,X,X,X,,X
704,Goomy,Dragon,,Sap Sipper,Hydration,Gooey,Neutral,Dragon,,45,,Base,,,,,X,X,X,X,,X
705,H. Sliggoo,Dragon,Steel,Sap Sipper,Overcoat,Gooey,Neutral,Dragon,,45,Level 40 (Hisui Only),Hisuian,,,,,,,,,,X
705,Sliggoo,Dragon,,Sap Sipper,Hydration,Gooey,Neutral,Dragon,,45,Level 40,Base,,,,,X,X,X,X,,X
706,H. Goodra,Dragon,Steel,Sap Sipper,Overcoat,Gooey,Neutral,Dragon,,45,Level 50 (Rain or Fog),Hisuian,,,,,,,,,,X
706,Goodra,Dragon,,Sap Sipper,Hydration,Gooey,Neutral,Dragon,,45,"Level 50, Overworld Rain",Base,,,,,X,X,X,X,,X
707,Klefki,Steel,Fairy,Prankster,,Magician,Neutral,Mineral,,75,N,Base,,,,,X,X,X,X,,X
708,Phantump,Grass,Ghost,Natural Cure,Frisk,Harvest,Neutral,Grass,Amorphous,120,,Base,,,,,X,X,X,X,,
709,Trevenant,Grass,Ghost,Natural Cure,Frisk,Harvest,Neutral,Grass,Amorphous,60,Trade,Base,,,,,X,X,X,X,,
710,Pumpkaboo,Grass,Ghost,Pickup,Frisk,Insomnia,Neutral,Amorphous,,120,,Base,,,,,X,X,X,X,,
711,Gourgeist,Grass,Ghost,Pickup,Frisk,Insomnia,Neutral,Amorphous,,60,Trade,Base,,,,,X,X,X,X,,
712,Bergmite,Ice,,Own Tempo,Ice Body,Sturdy,Neutral,Monster,,190,,Base,,,,,X,X,X,,,
712,Bergmite,Ice,,Own Tempo,Ice Body,Sturdy,Neutral,Monster,Mineral,190,,Base,,,,,,,,X,,X
713,Avalugg,Ice,,Own Tempo,Ice Body,Sturdy,Neutral,Monster,,55,Level 37,Base,,,,,X,X,X,,,
713,H. Avalugg,Ice,Rock,Strong Jaw,Sturdy,Ice Body,Neutral,Monster,Mineral,55,Level 37 (Hisui Only),Hisuian,,,,,,,,,,X
713,Avalugg,Ice,,Own Tempo,Ice Body,Sturdy,Neutral,Monster,Mineral,55,Level 37,Base,,,,,,,,X,,X
714,Noibat,Flying,Dragon,Frisk,Infiltrator,Telepathy,Neutral,Flying,,190,,Base,,,,,X,X,X,,,
714,Noibat,Flying,Dragon,Frisk,Infiltrator,Telepathy,Neutral,Flying,Dragon,190,,Base,,,,,,,,X,,X
715,Noivern,Flying,Dragon,Frisk,Infiltrator,Telepathy,Neutral,Flying,,45,Level 48,Base,,,,,X,X,X,,,
715,Noivern,Flying,Dragon,Frisk,Infiltrator,Telepathy,Neutral,Flying,Dragon,45,Level 48,Base,,,,,,,,X,,X
716,Xerneas,Fairy,,Fairy Aura,,,None,-,,45,N,Base,,,,,X,X,X,X,,
717,Yveltal,Dark,Flying,Dark Aura,,,None,-,,45,N,Base,,,,,X,X,X,X,,
718,Zygarde,Dragon,Ground,Aura Break,Power Construct,,None,-,,3,N,Base,,,,,X,X,X,X,,
719,Diancie,Rock,Fairy,Clear Body,,,None,-,,3,N,Base,,,,,X,X,X,X,,X
720,Hoopa,Psychic,Ghost,Magician,,,None,-,,3,N,Base,,,,,X,X,X,,,X
721,Volcanion,Fire,Water,Water Absorb,,,None,-,,3,N,Base,,,,,X,X,X,X,,X
722,Rowlet,Grass,Flying,Overgrow,,Long Reach,M (87.5%),Flying,,45,,Base,,,,,,X,X,X,,X
723,Dartrix,Grass,Flying,Overgrow,,Long Reach,M (87.5%),Flying,,45,Level 17,Base,,,,,,X,X,X,,X
724,Decidueye,Grass,Ghost,Overgrow,,Long Reach,M (87.5%),Flying,,45,Level 34,Base,,,,,,X,X,X,,X
724,H. Decidueye,Grass,Fighting,Overgrow,,Long Reach,M (87.5%),Flying,,45,Level 36 (Hisui Only),Hisuian,,,,,,,,,,X
725,Litten,Fire,,Blaze,,Intimidate,M (87.5%),Field,,45,,Base,,,,,,X,X,X,,
726,Torracat,Fire,,Blaze,,Intimidate,M (87.5%),Field,,45,Level 17,Base,,,,,,X,X,X,,
727,Incineroar,Fire,Dark,Blaze,,Intimidate,M (87.5%),Field,,45,Level 34,Base,,,,,,X,X,X,,
728,Popplio,Water,,Torrent,,Liquid Voice,M (87.5%),Water 1,Field,45,,Base,,,,,,X,X,X,,
729,Brionne,Water,,Torrent,,Liquid Voice,M (87.5%),Water 1,Field,45,Level 17,Base,,,,,,X,X,X,,
730,Primarina,Water,Fairy,Torrent,,Liquid Voice,M (87.5%),Water 1,Field,45,Level 34,Base,,,,,,X,X,X,,
731,Pikipek,Normal,Flying,Keen Eye,Skill Link,Pickup,Neutral,Flying,,255,,Base,,,,,,X,X,,,
732,Trumbeak,Normal,Flying,Keen Eye,Skill Link,Pickup,Neutral,Flying,,120,Level 14,Base,,,,,,X,X,,,
733,Toucannon,Normal,Flying,Keen Eye,Skill Link,Sheer Force,Neutral,Flying,,45,Level 28,Base,,,,,,X,X,,,
734,Yungoos,Normal,,Stakeout,Strong Jaw,Adaptability,Neutral,Field,,255,,Base,,,,,,X,X,,,X
735,Gumshoos,Normal,,Stakeout,Strong Jaw,Adaptability,Neutral,Field,,127,"Level 20, Day",Base,,,,,,X,X,,,X
736,Grubbin,Bug,,Swarm,,,Neutral,Bug,,255,,Base,,,,,,X,X,X,,
737,Charjabug,Bug,,Battery,,,Neutral,Bug,,120,Level 20,Base,,,,,,X,X,X,,
738,Vikavolt,Bug,Electric,Levitate,,,Neutral,Bug,,45,Magnet Field or Thunderstone,Base,,,,,,X,X,X,,
739,Crabrawler,Fighting,,Hyper Cutter,Iron Fist,Anger Point,Neutral,Water 3,,255,,Base,,,,,,X,X,,,X
740,Crabominable,Fighting,Ice,Hyper Cutter,Iron Fist,Anger Point,Neutral,Water 3,,60,Level up in Mount Lanakila,Base,,,,,,X,X,,,X
741,Pom Oricorio,Electric,Flying,Dancer,,,F (75%),Flying,,45,N,Base,,,,,,X,X,,,X
741,Baile Oricorio,Fire,Flying,Dancer,,,Neutral,Flying,,45,N,Alt,,,,,,X,X,,,X
741,Pa'u Oricorio,Psychic,Flying,Dancer,,,Neutral,Flying,,45,N,Alt,,,,,,X,X,,,X
741,Sen. Oricorio,Ghost,Flying,Dancer,,,Neutral,Flying,,45,N,Alt,,,,,,X,X,,,X
742,Cutiefly,Bug,Fairy,Honey Gather,Sheild Dust,Sweet Veil,Neutral,Bug,Fairy,190,,Base,,,,,,X,X,X,,
743,Ribombee,Bug,Fairy,Honey Gather,Sheild Dust,Sweet Veil,Neutral,Bug,Fairy,75,Level 25,Base,,,,,,X,X,X,,
744,Rockruff,Rock,,Keen Eye,Vital Spirit,Steadfast,Neutral,Field,,190,,Base,,,,,,X,X,X,,X
745,Day Lycanroc,Rock,,Keen Eye,Sand Rush,Steadfast,Neutral,Field,,90,"Level 25, Day",Base,,,,,,X,X,X,,X
